channel,mae_analysis_std,mae_bg_std,rmse_analysis_std,rmse_bg_std,bias_analysis_std,bias_bg_std,std_era5,mae_climatology_std,mean_abs_analysis_minus_bg,mae_analysis_phys,mae_bg_phys,improve_pct
t600,0.048557563579126155,0.04856719472323873,0.06577294435422576,0.06581157756382203,-0.0010164658185572197,0.0011614546216160094,4.867610454559326,1.1902454406961853,0.006923608829395821,0.23635930412568365,0.23640618478345538,-0.34649914601974213
t700,0.05395533239157354,0.054014827881977236,0.07273018207283694,0.07283048684133064,-0.00037756155298451945,0.0018265331304098806,5.060886859893799,1.2580987399780124,0.0059552360716320215,0.2730618327217168,0.2733629326673238,-0.34649914601974213
t850,0.060477047362461483,0.059822085849822515,0.08243980617293548,0.08165576321847424,-0.0011419074573032148,4.110988002083968e-05,5.590771675109863,1.4032106250953906,0.011560770245553227,0.3381133633883273,0.3344516231151783,-0.34649914601974213
t925,0.06775467845837567,0.06594094934335412,0.09332332375820046,0.0912185689729687,-0.0007012882926052161,-0.001924954529212599,5.611018657684326,1.5895591368809143,0.018378951546618935,0.3801727649753482,0.369995897070977,-0.34649914601974213
t1000,0.07478021088391724,0.07301398036244151,0.10330272779122122,0.10133059540515844,0.0004589033228264478,-0.0031294137858063602,5.558934688568115,1.6142142916016817,0.018970278436011012,0.4156983083010465,0.4058799481872073,-0.34649914601974213
u50,0.07247339556068728,0.07237042549328926,0.09454832541691696,0.094428363230279,0.001567314554992904,0.0014139376084009807,10.98034954071045,0.7816361815996368,0.00549416841022552,0.7957832156585193,0.7946525683262585,-0.34649914601974213
u100,0.08215755187839233,0.08218929176656609,0.10858151966146065,0.10861040476989865,0.0025174071968183994,0.0010908984951447508,9.611279487609863,0.6310924860729549,0.005118515923783019,0.7896391931210354,0.7899442540571788,-0.34649914601974213
u150,0.07200353794773275,0.07202624531747075,0.09554952715292875,0.09558676843838258,-0.00032531309395264355,-0.0026420439099972574,11.095009803771973,0.7048180481627747,0.004997967552934956,0.798879959436362,0.7991318979262231,-0.34649914601974213
u200,0.06737242409888933,0.0674487041990399,0.09208764881421874,0.09216066602556512,-0.00041519670432231076,-0.004819142283810364,12.694803237915039,0.818073966709831,0.006796005619314564,0.8552796675967654,0.8562480284591454,-0.34649914601974213
u250,0.07213850324116056,0.07219807483919956,0.10038051005396156,0.10044421246197682,-0.0008354046821630627,-0.005831730351743535,13.685319900512695,0.8598697555225265,0.007655248193659334,0.9872384939994542,0.9880537503756026,-0.34649914601974213
u300,0.07717483562427563,0.0770929213583251,0.10760658331461465,0.10751429012886693,0.00031601551665454846,-0.0020723973814357113,13.393957138061523,0.8392475969363482,0.0067103122180198135,1.0336764404884913,1.0325792843213542,-0.34649914601974213
u400,0.08143782833411435,0.08143557419270386,0.11371720891644897,0.11371439369498772,-0.0008525891299558501,-0.0023808441425745303,11.166704177856445,0.8190112964224903,0.005424269966153435,0.9093921378941108,0.9093669665638048,-0.34649914601974213
u500,0.08695553054157486,0.08696369008121327,0.12165615968510964,0.12165396373732348,-0.0007624907441373564,-0.0019654201054365643,9.159022331237793,0.8340062127678094,0.005950563671533587,0.796427646054914,0.7965023794606749,-0.34649914601974213
u600,0.10039468544015663,0.1003562369014754,0.14082573828017747,0.1408071194077872,0.0011922939141736945,-0.003186872702123772,7.755474090576172,0.8485643983498597,0.008348196036067491,0.7786083817626795,0.7783101951171167,-0.34649914601974213
u700,0.12014515691624457,0.12009043282496042,0.16656893180598875,0.16655414741047003,0.0018610234550394855,-0.005440852256157459,6.729358196258545,0.8480316428532676,0.01131187533575391,0.8084997964350994,0.8081315384228835,-0.34649914601974213
u850,0.13003259912660853,0.12970945258134742,0.17807743127097908,0.17781394433343697,0.0008234936634808669,-0.003382282041568168,5.894887447357178,0.7879082864428324,0.014636919978774074,0.7665275363386725,0.764622623825356,-0.34649914601974213
